file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[byte[],byte]",false,1745,2,3,2,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,28,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"remove/2[boolean[],int]",false,3888,2,2,1,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,67,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[boolean[],boolean,int]",false,2194,2,2,1,1,5,1,14,3,1,3,1,1,1,1,1,0,0,0,2,2,0,2,0,0,0,53,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"copyArrayGrow1/2[java.lang.Object,java.lang.Class]",false,3463,0,9,9,0,2,5,9,2,2,2,5,0,0,0,1,0,0,0,4,2,1,1,0,0,0,31,10,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,toObject/1[double[]],false,2666,1,0,0,0,4,0,13,3,2,1,0,0,0,1,2,0,0,0,2,3,0,1,0,0,0,34,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,toObject/1[boolean[]],false,2802,1,0,0,0,5,0,13,3,2,1,0,0,0,1,2,0,1,0,2,3,0,1,0,0,0,32,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Long[],long]",false,2372,1,0,0,0,5,1,14,3,3,2,1,0,0,1,3,0,1,0,2,4,0,1,0,0,0,41,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,toPrimitive/1[java.lang.Float[]],false,2690,1,0,0,0,4,1,13,3,2,1,1,0,0,1,2,0,0,0,2,3,0,1,0,0,0,36,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/2[java.lang.Object[],java.lang.Object]",false,1209,1,3,2,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,27,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[int[],int,int]",false,519,1,0,0,0,5,1,18,3,2,3,1,0,0,0,1,0,0,0,4,4,1,1,0,0,0,52,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"remove/2[char[],int]",false,4018,2,2,1,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,67,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,toPrimitive/1[java.lang.Byte[]],false,2554,1,0,0,0,4,1,13,3,2,1,1,0,0,1,2,0,0,0,2,3,0,1,0,0,0,34,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/3[float[],int,float]",false,3727,2,1,0,1,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"isSameLength/2[long[],long[]]",false,804,1,0,0,0,10,0,6,2,0,2,0,0,0,0,7,0,3,0,2,0,0,1,0,0,0,28,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/3[long[],int,long]",false,3696,2,1,0,1,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,65,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/2[byte[],byte]",false,1788,2,1,0,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[double[],double,double]",false,1865,2,1,0,1,1,1,3,1,0,3,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,38,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"indexOf/3[double[],double,int]",false,1883,2,2,1,1,5,1,14,3,1,3,1,1,1,1,1,0,0,0,2,2,0,2,0,0,0,53,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"add/2[int[],int]",false,3394,2,1,0,1,1,1,5,1,1,2,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,44,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,reverse/1[short[]],false,1063,1,0,0,0,3,0,15,1,3,1,0,0,0,1,1,0,0,0,2,5,1,1,0,0,0,22,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"toPrimitive/2[java.lang.Boolean[],boolean]",false,2780,1,0,0,0,5,1,14,3,3,2,1,0,0,1,3,0,1,0,2,4,0,1,0,0,0,42,9,0,true
